Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Assistências,Golos+Assistências,ConduçõesProgressivas,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,PassesChave,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos,GolosSofridos,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,PassesProgressivos
Arouca,34,13,15,6,47,9,54,0.0,0.0,20,64,0.0,14,41.2,43.3,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,38,0.0,0.0,0.0
Rio Ave,34,14,8,12,44,0,50,0.0,0.0,27,71,0.0,12,35.3,71.1,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,44,0.0,0.0,0.0
Paços de Ferreira,34,13,10,11,43,1,49,0.0,0.0,17,60,0.0,12,35.3,63.6,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,42,0.0,0.0,0.0
Estoril,34,13,8,13,40,-1,47,0.0,0.0,14,53,0.0,8,23.5,66.9,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,41,0.0,0.0,0.0
Belenenses,34,10,11,13,44,-22,41,0.0,0.0,17,60,0.0,6,17.6,55.1,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,66,0.0,0.0,0.0
Vitória,34,9,13,12,45,-8,40,0.0,0.0,27,68,0.0,6,17.6,66.2,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,53,0.0,0.0,0.0
Nacional,34,10,8,16,40,-16,38,0.0,0.0,13,49,0.0,7,20.6,51.3,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,56,0.0,0.0,0.0
Moreirense,34,9,9,16,38,-16,36,0.0,0.0,18,56,0.0,10,29.4,60.1,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,54,0.0,0.0,0.0
Marítimo,34,10,5,19,45,-18,35,0.0,0.0,17,62,0.0,5,14.7,62.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,63,0.0,0.0,0.0
Boavista,34,8,9,17,24,-17,33,0.0,0.0,12,36,0.0,12,35.3,68.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,41,0.0,0.0,0.0
Vitória Setúbal,34,6,12,16,40,-21,30,0.0,0.0,20,60,0.0,6,17.6,62.1,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,61,0.0,0.0,0.0
Tondela,34,8,6,20,34,-20,30,0.0,0.0,14,46,0.0,5,14.7,63.5,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,54,0.0,0.0,0.0
União,34,7,8,19,27,-23,29,0.0,0.0,9,36,0.0,10,29.4,65.8,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,50,0.0,0.0,0.0
Académica,34,5,10,19,32,-28,25,0.0,0.0,10,41,0.0,4,11.8,59.5,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,60,0.0,0.0,0.0
Benfica,34,27,4,3,86,70,85,0.0,0.0,63,149,0.0,21,61.8,84.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,16,0.0,0.0,0.0
Porto,34,25,7,2,74,61,82,0.0,0.0,50,123,0.0,23,67.6,86.2,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,13,0.0,0.0,0.0
Sporting CP,34,22,10,2,67,38,76,0.0,0.0,43,109,0.0,12,35.3,77.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,29,0.0,0.0,0.0
Braga,34,17,7,10,55,27,58,0.0,0.0,36,88,0.0,15,44.1,72.5,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,28,0.0,0.0,0.0
Vitória,34,15,10,9,50,15,55,0.0,0.0,23,72,0.0,14,41.2,75.4,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,35,0.0,0.0,0.0
Belenenses,34,12,12,10,34,-1,48,0.0,0.0,21,54,0.0,11,32.4,73.5,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,35,0.0,0.0,0.0
Nacional,34,13,8,13,45,-1,47,0.0,0.0,28,72,0.0,10,29.4,66.7,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,46,0.0,0.0,0.0
Paços de Ferreira,34,12,11,11,40,-5,47,0.0,0.0,23,63,0.0,8,23.5,69.8,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,45,0.0,0.0,0.0
Marítimo,34,12,8,14,46,1,44,0.0,0.0,24,69,0.0,8,23.5,70.4,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,45,0.0,0.0,0.0
Rio Ave,34,10,13,11,38,-4,43,0.0,0.0,26,64,0.0,12,35.3,71.2,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,42,0.0,0.0,0.0
Moreirense,34,11,10,13,33,-9,43,0.0,0.0,23,54,0.0,10,29.4,70.8,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,42,0.0,0.0,0.0
Estoril,34,9,13,12,38,-18,40,0.0,0.0,23,61,0.0,6,17.6,65.8,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,56,0.0,0.0,0.0
Boavista,34,9,7,18,27,-23,34,0.0,0.0,23,47,0.0,9,26.5,70.1,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,50,0.0,0.0,0.0
Vitória Setúbal,34,7,8,19,24,-32,29,0.0,0.0,11,34,0.0,7,20.6,66.9,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,56,0.0,0.0,0.0
Académica,34,4,17,13,26,-20,29,0.0,0.0,13,39,0.0,9,26.5,68.3,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,46,0.0,0.0,0.0
Arouca,34,7,7,20,26,-24,28,0.0,0.0,11,37,0.0,7,20.6,67.3,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,50,0.0,0.0,0.0
Gil Vicente,34,4,11,19,25,-35,23,0.0,0.0,16,41,0.0,4,11.8,64.7,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,60,0.0,0.0,0.0
Penafiel,34,5,7,22,29,-40,22,0.0,0.0,21,48,0.0,6,17.6,59.6,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,69,0.0,0.0,0.0
Benfica,30,23,5,2,58,40,74,0.0,0.0,39,96,0.0,17,56.7,82.4,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,18,0.0,0.0,0.0
Sporting CP,30,20,7,3,54,34,67,0.0,0.0,30,83,0.0,15,50.0,78.7,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,20,0.0,0.0,0.0
Porto,30,19,4,7,57,32,61,0.0,0.0,34,91,0.0,10,33.3,76.6,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,25,0.0,0.0,0.0
Estoril,30,15,9,6,42,16,54,0.0,0.0,29,70,0.0,12,40.0,75.2,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,26,0.0,0.0,0.0
Nacional,30,11,12,7,43,10,45,0.0,0.0,22,65,0.0,10,33.3,71.1,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,33,0.0,0.0,0.0
Marítimo,30,11,8,11,40,-4,41,0.0,0.0,25,65,0.0,5,16.7,67.2,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,44,0.0,0.0,0.0
Vitória Setúbal,30,10,9,11,41,0,39,0.0,0.0,26,65,0.0,7,23.3,69.9,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,41,0.0,0.0,0.0
Académica,30,9,10,11,25,-10,37,0.0,0.0,19,44,0.0,11,36.7,69.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,35,0.0,0.0,0.0
Braga,30,10,7,13,39,2,37,0.0,0.0,26,63,0.0,5,16.7,69.4,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,37,0.0,0.0,0.0
Vitória,30,10,5,15,30,-5,35,0.0,0.0,19,48,0.0,12,40.0,71.1,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,35,0.0,0.0,0.0
Rio Ave,30,8,8,14,21,-14,32,0.0,0.0,12,31,0.0,10,33.3,72.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,35,0.0,0.0,0.0
Arouca,30,8,7,15,28,-14,31,0.0,0.0,17,44,0.0,9,30.0,70.2,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,42,0.0,0.0,0.0
Gil Vicente,30,8,7,15,23,-14,31,0.0,0.0,15,38,0.0,10,33.3,72.1,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,37,0.0,0.0,0.0
Belenenses,30,6,10,14,19,-14,28,0.0,0.0,12,31,0.0,10,33.3,72.3,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,33,0.0,0.0,0.0
Paços de Ferreira,30,6,6,18,28,-31,24,0.0,0.0,12,39,0.0,4,13.3,61.7,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,59,0.0,0.0,0.0
Olhanense,30,6,6,18,21,-28,24,0.0,0.0,9,30,0.0,4,13.3,63.7,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-2014,0.0,49,0.0,0.0,0.0
Porto,30,24,6,0,70,56,78,0.0,0.0,45,115,0.0,19,63.3,84.3,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,14,0.0,0.0,0.0
Benfica,30,24,5,1,77,57,77,0.0,0.0,47,122,0.0,15,50.0,82.1,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,20,0.0,0.0,0.0
Paços de Ferreira,30,14,12,4,42,13,54,0.0,0.0,24,66,0.0,12,40.0,74.6,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,29,0.0,0.0,0.0
Braga,30,16,4,10,60,16,52,0.0,0.0,38,97,0.0,8,26.7,72.8,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,44,0.0,0.0,0.0
Estoril,30,13,6,11,47,10,45,0.0,0.0,27,71,0.0,8,26.7,73.9,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,37,0.0,0.0,0.0
Rio Ave,30,12,6,12,35,-7,42,0.0,0.0,23,56,0.0,6,20.0,61.5,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,42,0.0,0.0,0.0
Sporting CP,30,11,9,10,36,0,42,0.0,0.0,28,62,0.0,7,23.3,74.6,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,36,0.0,0.0,0.0
Nacional,30,11,7,12,45,-6,40,0.0,0.0,23,63,0.0,2,6.7,69.1,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,51,0.0,0.0,0.0
Vitória,30,11,7,12,36,-11,40,0.0,0.0,18,52,0.0,6,20.0,64.9,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,47,0.0,0.0,0.0
Marítimo,30,9,11,10,34,-11,38,0.0,0.0,20,54,0.0,8,26.7,66.7,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,45,0.0,0.0,0.0
Académica,30,6,10,14,33,-12,28,0.0,0.0,24,57,0.0,6,20.0,63.7,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,45,0.0,0.0,0.0
Vitória Setúbal,30,7,5,18,30,-25,26,0.0,0.0,22,52,0.0,8,26.7,64.3,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,55,0.0,0.0,0.0
Gil Vicente,30,6,7,17,31,-23,25,0.0,0.0,21,52,0.0,7,23.3,70.2,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,54,0.0,0.0,0.0
Olhanense,30,5,10,15,26,-16,25,0.0,0.0,19,43,0.0,7,23.3,71.1,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,42,0.0,0.0,0.0
Moreirense,30,5,9,16,30,-21,24,0.0,0.0,17,47,0.0,3,10.0,66.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,51,0.0,0.0,0.0
Beira-Mar,30,5,8,17,35,-20,23,0.0,0.0,17,52,0.0,1,3.3,68.9,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013,0.0,55,0.0,0.0,0.0
